"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-04-27","0.00","0.0","0.0","106","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-04-28","0.00","0.0","0.0","107","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-04-29","0.00","0.0","0.0","109","73"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-04-30","0.00","0.0","0.0","107","76"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-01","0.00","0.0","0.0","95","71"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-02","0.00","0.0","0.0","85","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-03","0.00","0.0","0.0","86","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-04","0.00","0.0","0.0","80","64"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-05","0.00","0.0","0.0","85","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-06","0.00","0.0","0.0","87","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-07","0.00","0.0","0.0","90","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-08","0.00","0.0","0.0","94","70"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-09","0.00","0.0","0.0","94","69"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-10","0.00","0.0","0.0","95","69"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-11","0.00","0.0","0.0","93","72"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-12","0.00","0.0","0.0","104","73"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-13","0.00","0.0","0.0","105","85"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-14","0.00","0.0","0.0","106","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-15","0.00","0.0","0.0","111","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-16","0.00","0.0","0.0","109","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-17","0.00","0.0","0.0","111","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-18","0.00","0.0","0.0","113","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-19","0.00","0.0","0.0","113","85"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-20","0.02","0.0","0.0","110","80"
